Type,x,y,width,height,1,2,3,4,5,6
Player,1712,160,32,32,,,,,,
Bush,2912,288,32,32,,,,,,
Bush,2880,256,32,32,,,,,,
Bush,2848,256,32,32,,,,,,
Bush,2816,288,32,32,,,,,,
Bush,2624,384,32,32,,,,,,
Bush,2560,384,32,32,,,,,,
Bush,2496,448,32,32,,,,,,
Bush,2496,480,32,32,,,,,,
Bush,2496,576,32,32,,,,,,
Bush,2496,608,32,32,,,,,,
Bush,2368,608,32,32,,,,,,
Bush,2368,576,32,32,,,,,,
Bush,2368,640,32,32,,,,,,
Bush,2432,384,32,32,,,,,,
Bush,2336,640,32,32,,,,,,
Bush,2272,640,32,32,,,,,,
Bush,2240,672,32,32,,,,,,
Bush,2208,608,32,32,,,,,,
Bush,2176,608,32,32,,,,,,
Bush,2176,640,32,32,,,,,,
Bush,2144,352,32,32,,,,,,
Bush,2144,320,32,32,,,,,,
Bush,2240,352,32,32,,,,,,
Bush,2272,352,32,32,,,,,,
Bush,2272,320,32,32,,,,,,
Bush,2240,320,32,32,,,,,,
Bush,2240,288,32,32,,,,,,
Bush,2272,288,32,32,,,,,,
Bush,2304,256,32,32,,,,,,
Bush,2304,288,32,32,,,,,,
Bush,2304,320,32,32,,,,,,
Bush,2336,256,32,32,,,,,,
Bush,2336,288,32,32,,,,,,
Bush,2336,320,32,32,,,,,,
Bush,2368,288,32,32,,,,,,
Bush,2368,320,32,32,,,,,,
Bush,2368,352,32,32,,,,,,
Bush,1920,256,32,32,,,,,,
Bush,1920,320,32,32,,,,,,
Bush,1920,384,32,32,,,,,,
Bush,1856,480,32,32,,,,,,
Bush,1888,480,32,32,,,,,,
Bush,1856,512,32,32,,,,,,
Bush,1888,512,32,32,,,,,,
Bush,1856,544,32,32,,,,,,
Bush,1888,544,32,32,,,,,,
Bush,1856,576,32,32,,,,,,
Bush,1888,576,32,32,,,,,,
Bush,1856,608,32,32,,,,,,
Bush,1888,608,32,32,,,,,,
Bush,1760,480,32,32,,,,,,
Bush,1792,480,32,32,,,,,,
Bush,1760,512,32,32,,,,,,
Bush,1792,512,32,32,,,,,,
Bush,1760,544,32,32,,,,,,
Bush,1792,544,32,32,,,,,,
Bush,1760,576,32,32,,,,,,
Bush,1792,576,32,32,,,,,,
Bush,1760,608,32,32,,,,,,
Bush,1792,608,32,32,,,,,,
Bush,1664,480,32,32,,,,,,
Bush,1664,512,32,32,,,,,,
Bush,1664,544,32,32,,,,,,
Bush,1664,576,32,32,,,,,,
Bush,1664,608,32,32,,,,,,
Bush,1632,608,32,32,,,,,,
